manifold_2_4_1:  ( + ; 0 ) = S^2
manifold_2_9_493:  ( - ; 2 ) = Klein bottle
manifold_2_9_494:  ( - ; 2 ) = Klein bottle
manifold_2_9_495:  ( - ; 1 ) = RP^2
manifold_2_9_496:  ( - ; 1 ) = RP^2
manifold_2_9_497:  ( - ; 1 ) = RP^2
manifold_2_9_498:  ( - ; 1 ) = RP^2
manifold_2_9_499:  ( - ; 1 ) = RP^2
manifold_2_9_500:  ( - ; 1 ) = RP^2
manifold_2_9_501:  ( - ; 1 ) = RP^2
manifold_2_9_502:  ( - ; 1 ) = RP^2
manifold_2_9_503:  ( - ; 1 ) = RP^2
manifold_2_9_504:  ( - ; 1 ) = RP^2
manifold_2_9_505:  ( - ; 1 ) = RP^2
manifold_2_9_506:  ( - ; 1 ) = RP^2
manifold_2_9_507:  ( - ; 2 ) = Klein bottle
manifold_2_9_508:  ( - ; 1 ) = RP^2
manifold_2_9_509:  ( - ; 1 ) = RP^2
manifold_2_9_510:  ( - ; 2 ) = Klein bottle
manifold_2_9_511:  ( - ; 1 ) = RP^2
manifold_2_9_512:  ( - ; 1 ) = RP^2
manifold_2_9_513:  ( + ; 0 ) = S^2
manifold_2_9_514:  ( + ; 0 ) = S^2
manifold_2_9_515:  ( - ; 1 ) = RP^2
manifold_2_9_516:  ( - ; 1 ) = RP^2
manifold_2_9_517:  ( - ; 1 ) = RP^2
manifold_2_9_518:  ( - ; 1 ) = RP^2
manifold_2_9_519:  ( - ; 1 ) = RP^2
manifold_2_9_520:  ( - ; 1 ) = RP^2
manifold_2_9_521:  ( + ; 0 ) = S^2
manifold_2_9_522:  ( + ; 0 ) = S^2
manifold_2_9_523:  ( - ; 1 ) = RP^2
manifold_2_9_524:  ( - ; 2 ) = Klein bottle
manifold_2_9_525:  ( - ; 2 ) = Klein bottle
manifold_2_9_526:  ( - ; 2 ) = Klein bottle
manifold_2_9_527:  ( - ; 2 ) = Klein bottle
manifold_2_9_528:  ( - ; 2 ) = Klein bottle
manifold_2_9_529:  ( - ; 2 ) = Klein bottle
manifold_2_9_530:  ( + ; 1 ) = T^2
manifold_2_9_531:  ( + ; 1 ) = T^2
manifold_2_9_532:  ( - ; 2 ) = Klein bottle
manifold_2_9_533:  ( - ; 2 ) = Klein bottle
manifold_2_9_534:  ( - ; 2 ) = Klein bottle
manifold_2_9_535:  ( - ; 2 ) = Klein bottle
manifold_2_9_536:  ( - ; 3 )
manifold_2_9_537:  ( - ; 2 ) = Klein bottle
manifold_2_9_538:  ( - ; 2 ) = Klein bottle
manifold_2_9_539:  ( - ; 2 ) = Klein bottle
manifold_2_9_540:  ( - ; 2 ) = Klein bottle
manifold_2_9_541:  ( - ; 2 ) = Klein bottle
manifold_2_9_542:  ( - ; 2 ) = Klein bottle
manifold_2_9_543:  ( - ; 2 ) = Klein bottle
manifold_2_9_544:  ( - ; 2 ) = Klein bottle
manifold_2_9_545:  ( - ; 2 ) = Klein bottle
manifold_2_9_546:  ( - ; 2 ) = Klein bottle
manifold_2_9_547:  ( - ; 1 ) = RP^2
manifold_2_9_548:  ( - ; 1 ) = RP^2
manifold_2_9_549:  ( - ; 1 ) = RP^2
manifold_2_9_550:  ( - ; 3 )
manifold_2_9_551:  ( - ; 3 )
manifold_2_9_552:  ( - ; 3 )
manifold_2_9_553:  ( - ; 1 ) = RP^2
manifold_2_9_554:  ( - ; 2 ) = Klein bottle
manifold_2_9_555:  ( - ; 2 ) = Klein bottle
manifold_2_9_556:  ( + ; 1 ) = T^2
manifold_2_9_557:  ( + ; 1 ) = T^2
manifold_2_9_558:  ( + ; 1 ) = T^2
manifold_2_9_559:  ( - ; 1 ) = RP^2
manifold_2_9_560:  ( - ; 2 ) = Klein bottle
manifold_2_9_561:  ( - ; 2 ) = Klein bottle
manifold_2_9_562:  ( - ; 2 ) = Klein bottle
manifold_2_9_563:  ( - ; 2 ) = Klein bottle
manifold_2_9_564:  ( + ; 1 ) = T^2
manifold_2_9_565:  ( + ; 1 ) = T^2
manifold_2_9_566:  ( + ; 1 ) = T^2
manifold_2_9_567:  ( - ; 2 ) = Klein bottle
manifold_2_9_568:  ( - ; 2 ) = Klein bottle
manifold_2_9_569:  ( + ; 1 ) = T^2
manifold_2_9_570:  ( + ; 1 ) = T^2
manifold_2_9_571:  ( + ; 1 ) = T^2
manifold_2_9_572:  ( + ; 1 ) = T^2
manifold_2_9_573:  ( + ; 1 ) = T^2
manifold_2_9_574:  ( - ; 2 ) = Klein bottle
manifold_2_9_575:  ( - ; 2 ) = Klein bottle
manifold_2_9_576:  ( - ; 2 ) = Klein bottle
manifold_2_9_577:  ( + ; 1 ) = T^2
manifold_2_9_578:  ( + ; 1 ) = T^2
manifold_2_9_579:  ( + ; 1 ) = T^2
manifold_2_9_580:  ( + ; 1 ) = T^2
manifold_2_9_581:  ( + ; 1 ) = T^2
manifold_2_9_582:  ( + ; 1 ) = T^2
manifold_2_9_583:  ( + ; 1 ) = T^2
manifold_2_9_584:  ( + ; 1 ) = T^2
manifold_2_9_585:  ( - ; 2 ) = Klein bottle
manifold_2_9_586:  ( - ; 2 ) = Klein bottle
manifold_2_9_587:  ( - ; 3 )
manifold_2_9_588:  ( - ; 2 ) = Klein bottle
manifold_2_9_589:  ( - ; 2 ) = Klein bottle
manifold_2_9_590:  ( + ; 1 ) = T^2
manifold_2_9_591:  ( - ; 2 ) = Klein bottle
manifold_2_9_592:  ( + ; 1 ) = T^2
manifold_2_9_593:  ( - ; 2 ) = Klein bottle
manifold_2_9_594:  ( + ; 1 ) = T^2
manifold_2_9_595:  ( - ; 2 ) = Klein bottle
manifold_2_9_596:  ( - ; 2 ) = Klein bottle
manifold_2_9_597:  ( - ; 2 ) = Klein bottle
manifold_2_9_598:  ( + ; 1 ) = T^2
manifold_2_9_599:  ( + ; 1 ) = T^2
manifold_2_9_600:  ( + ; 1 ) = T^2
manifold_2_9_601:  ( - ; 2 ) = Klein bottle
manifold_2_9_602:  ( - ; 1 ) = RP^2
manifold_2_9_603:  ( - ; 1 ) = RP^2
manifold_2_9_604:  ( - ; 1 ) = RP^2
manifold_2_9_605:  ( - ; 1 ) = RP^2
manifold_2_9_606:  ( - ; 1 ) = RP^2
manifold_2_9_607:  ( - ; 2 ) = Klein bottle
manifold_2_9_608:  ( - ; 2 ) = Klein bottle
manifold_2_9_609:  ( + ; 1 ) = T^2
manifold_2_9_610:  ( - ; 1 ) = RP^2
manifold_2_9_611:  ( - ; 2 ) = Klein bottle
manifold_2_9_612:  ( - ; 2 ) = Klein bottle
manifold_2_9_613:  ( + ; 1 ) = T^2
manifold_2_9_614:  ( + ; 1 ) = T^2
manifold_2_9_615:  ( - ; 1 ) = RP^2
manifold_2_9_616:  ( - ; 1 ) = RP^2
manifold_2_9_617:  ( - ; 1 ) = RP^2
manifold_2_9_618:  ( - ; 2 ) = Klein bottle
manifold_2_9_619:  ( + ; 1 ) = T^2
manifold_2_9_620:  ( - ; 1 ) = RP^2
manifold_2_9_621:  ( - ; 1 ) = RP^2
manifold_2_9_622:  ( - ; 1 ) = RP^2
manifold_2_9_623:  ( - ; 1 ) = RP^2
manifold_2_9_624:  ( - ; 1 ) = RP^2
manifold_2_9_625:  ( - ; 1 ) = RP^2
manifold_2_9_626:  ( - ; 1 ) = RP^2
manifold_2_9_627:  ( - ; 1 ) = RP^2
manifold_2_9_628:  ( - ; 1 ) = RP^2
manifold_2_9_629:  ( - ; 1 ) = RP^2
manifold_2_9_630:  ( + ; 0 ) = S^2
manifold_2_9_631:  ( + ; 0 ) = S^2
manifold_2_9_632:  ( + ; 0 ) = S^2
manifold_2_9_633:  ( + ; 0 ) = S^2
manifold_2_9_634:  ( + ; 0 ) = S^2
manifold_2_9_635:  ( + ; 0 ) = S^2
manifold_2_9_636:  ( + ; 0 ) = S^2
manifold_2_9_637:  ( + ; 0 ) = S^2
manifold_2_9_638:  ( + ; 0 ) = S^2
manifold_2_9_639:  ( + ; 0 ) = S^2
manifold_2_9_640:  ( + ; 0 ) = S^2
manifold_2_9_641:  ( - ; 1 ) = RP^2
manifold_2_9_642:  ( + ; 0 ) = S^2
manifold_2_9_643:  ( - ; 1 ) = RP^2
manifold_2_9_644:  ( - ; 1 ) = RP^2
manifold_2_9_645:  ( - ; 1 ) = RP^2
manifold_2_9_646:  ( - ; 2 ) = Klein bottle
manifold_2_9_647:  ( - ; 1 ) = RP^2
manifold_2_9_648:  ( - ; 1 ) = RP^2
manifold_2_9_649:  ( + ; 1 ) = T^2
manifold_2_9_650:  ( + ; 0 ) = S^2
manifold_2_9_651:  ( + ; 0 ) = S^2
manifold_2_9_652:  ( + ; 0 ) = S^2
manifold_2_9_653:  ( - ; 1 ) = RP^2
manifold_2_9_654:  ( + ; 1 ) = T^2
manifold_2_9_655:  ( + ; 0 ) = S^2
